#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 11 07 50 201  8.1 10.1  2.96 10.00  7.09 268 1025.2   9.6   9.0 999.0 99.0 99.00
2008 03 11 08 50 216  9.8 11.8  3.34 11.43  7.52 272 1025.8   8.7   9.0 999.0 99.0 99.00
2008 03 11 09 50 215  8.9 10.9  4.14 14.81  8.78 269 1026.4   8.7   9.0 999.0 99.0 99.00
2008 03 11 10 50 235 10.2 13.5  6.12 16.00 10.76 266 1026.6   9.2   8.9 999.0 99.0 99.00
2008 03 11 11 50 238  7.1  9.0  6.24 16.00 10.79 274 1027.3   8.9   8.9 999.0 99.0 99.00
2008 03 11 12 50 241  7.4 10.0  6.44 16.00 11.09 269 1028.2   9.0   8.9 999.0 99.0 99.00
2008 03 11 13 50 245  7.3  9.2  6.15 16.00 10.59 260 1029.1   9.0   8.9 999.0 99.0 99.00
2008 03 11 14 50 248  6.3  8.5  6.28 16.00 10.66 266 1029.5   8.8   8.9 999.0 99.0 99.00
2008 03 11 15 50 246  6.0  8.0  6.72 16.00 10.93 265 1030.2   8.9   8.9 999.0 99.0 99.00
2008 03 11 16 50 249  5.3  7.9  6.87 16.00 11.23 266 1031.0   9.0   8.9 999.0 99.0 99.00
2008 03 11 17 50 247  4.4  7.3  5.21 14.81 10.11 266 1031.8   9.0   8.9 999.0 99.0 99.00
2008 03 11 18 50 261  4.0  6.4  6.16 14.81 11.07 263 1032.1   9.1   9.0 999.0 99.0 99.00
2008 03 11 19 50 267  3.6  5.5  4.99 14.81  9.95 265 1032.1   8.9   9.1 999.0 99.0 99.00
2008 03 11 20 50 278  2.6  4.4  5.19 14.81 10.57 267 1031.5   8.9   9.1 999.0 99.0 99.00
2008 03 11 21 50 215  0.9  2.4  4.68 12.90 10.07 265 1030.9   9.2   9.2 999.0 99.0 99.00
2008 03 11 22 50 273  0.6  2.1  4.59 14.81 10.12 274 1030.5   9.1   9.4 999.0 99.0 99.00
2008 03 11 23 50 340  2.1  3.0  4.47 14.81  9.67 271 1030.3   8.9   9.4 999.0 99.0 99.00
2008 03 12 00 50 345  2.5  4.1  5.15 13.79 10.32 274 1030.0   8.6   9.3 999.0 99.0 99.00
2008 03 12 01 50  25  2.3  3.6  4.76 13.79 10.14 277 1029.2   8.4   9.2 999.0 99.0 99.00
2008 03 12 02 50  47  5.1  6.7  4.70 13.79  9.96 279 1027.6   8.3   9.1 999.0 99.0 99.00
