YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 06 21 172 14.7 18.3  5.16  9.09  7.34 206 1014.8  14.1  11.9 999.0 99.0
96 01 06 22 178 14.5 18.5  4.55  9.09  7.16 217 1015.2  13.7  12.0 999.0 99.0
96 01 06 23 178 14.0 17.5  5.08  9.09  7.44 199 1015.2  13.7  12.0 999.0 99.0
96 01 07 00 177 13.4 16.7  5.17  9.09  7.67 204 1015.5  13.7  12.0 999.0 99.0
96 01 07 01 180 12.6 16.7  5.22  9.09  7.55 207 1016.2  13.3  12.0 999.0 99.0
96 01 07 02 175 12.4 14.8  5.15  9.09  7.86 210 1015.7  13.4  12.0 999.0 99.0
96 01 07 03 174 11.3 13.5  4.53 10.00  7.35 225 1015.9  13.3  12.1 999.0 99.0
96 01 07 04 176 11.8 14.3  4.51 11.11  7.62 254 1015.6  13.4  12.1 999.0 99.0
96 01 07 05 170 12.6 15.1  3.92  9.09  7.17 213 1014.8  13.4  12.1 999.0 99.0
96 01 07 06 174 12.8 15.9  4.00  9.09  7.05 207 1014.7  13.6  12.1 999.0 99.0
96 01 07 07 174 13.3 16.7  3.92 10.00  6.98 245 1014.5  13.4  12.1 999.0 99.0
96 01 07 08 175 13.1 16.4  4.47  8.33  7.16 209 1014.1  13.3  12.1 999.0 99.0
96 01 07 09 176 12.3 14.8  3.82  9.09  6.75 221 1013.9  13.3  12.1 999.0 99.0
96 01 07 10 177 13.1 15.8  3.79 10.00  6.81 239 1013.3  13.4  12.1 999.0 99.0
96 01 07 11 182 12.0 14.4  3.98 11.11  6.95 248 1013.6  13.6  12.1 999.0 99.0
96 01 07 12 180 12.4 15.1  4.37 10.00  7.20 243 1013.3  13.4  12.1 999.0 99.0
96 01 07 13 193 12.1 17.0  4.10  9.09  6.76 219 1013.5  13.4  12.1 999.0 99.0
96 01 07 14 187 11.2 13.7  4.40  9.09  7.06 221 1013.7  13.4  12.1 999.0 99.0
96 01 07 15 184 10.6 13.3  3.77 10.00  6.92 240 1013.9  13.3  12.1 999.0 99.0
96 01 07 16 187 10.5 12.8  3.70 10.00  7.01 231 1013.9  13.3  12.1 999.0 99.0
96 01 07 17 194 11.7 14.8  3.95 10.00  7.33 230 1014.1  13.1  12.1 999.0 99.0
96 01 07 18 186 12.7 15.7  3.72 10.00  6.82 228 1014.5  13.3  12.1 999.0 99.0
